пройд	0 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319
регистрац	0 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 4.95024834573416 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 4.95024834573416 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 4.95024834573416 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276
успешн	0 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 2.9701490074404955 1.9800993382936638 2.9701490074404955 1.9800993382936638 1.9800993382936638 0.9900496691468319 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 0.9900496691468319 1.9800993382936638 0.9900496691468319 0.9900496691468319 1.9800993382936638 1.9800993382936638 2.9701490074404955 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 2.9701490074404955 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 4.95024834573416 2.9701490074404955 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 3.9601986765873276 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 2.9701490074404955 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638
пожалуйст	0 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638 1.9800993382936638
перейд	0 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319
по	0 7.920397353174655 2.9701490074404955 4.95024834573416 2.9701490074404955 4.95024834573416 4.95024834573416 3.9601986765873276 5.940298014880991 2.9701490074404955 3.9601986765873276 2.9701490074404955 2.9701490074404955 5.940298014880991 2.9701490074404955 3.9601986765873276 2.9701490074404955 6.930347684027823 6.930347684027823 3.9601986765873276 2.9701490074404955 3.9601986765873276 4.95024834573416 16.83084437549614 3.9601986765873276 8.910447022321486 8.910447022321486 3.9601986765873276 3.9601986765873276 4.95024834573416 6.930347684027823 2.9701490074404955 2.9701490074404955 3.9601986765873276 5.940298014880991 3.9601986765873276 3.9601986765873276 5.940298014880991 6.930347684027823 5.940298014880991 5.940298014880991 8.910447022321486 12.870645698908815 5.940298014880991 4.95024834573416 7.920397353174655 11.880596029761982 4.95024834573416 8.910447022321486 8.910447022321486 5.940298014880991 6.930347684027823 4.95024834573416 2.9701490074404955 3.9601986765873276 2.9701490074404955 4.95024834573416 6.930347684027823 3.9601986765873276 6.930347684027823 2.9701490074404955 5.940298014880991 4.95024834573416 3.9601986765873276 3.9601986765873276 3.9601986765873276 3.9601986765873276 6.930347684027823 2.9701490074404955 4.95024834573416 4.95024834573416 7.920397353174655 5.940298014880991 3.9601986765873276 7.920397353174655 3.9601986765873276 3.9601986765873276 5.940298014880991 4.95024834573416 2.9701490074404955 2.9701490074404955 15.84079470634931 23.761192059523964 3.9601986765873276 5.940298014880991 7.920397353174655 3.9601986765873276 7.920397353174655 8.910447022321486 10.89054636061515 3.9601986765873276 2.9701490074404955 2.9701490074404955 4.95024834573416 2.9701490074404955 3.9601986765873276 3.9601986765873276 5.940298014880991 5.940298014880991 5.940298014880991 2.9701490074404955
ссылк	0 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 4.95024834573416 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 3.9601986765873276 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955 2.9701490074404955
из	0 2.9701490074404955 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 1.9800993382936638 1.9800993382936638 0.9900496691468319 3.9601986765873276 0.9900496691468319 0.9900496691468319 1.9800993382936638 1.9800993382936638 0.9900496691468319 3.9601986765873276 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 1.9800993382936638 3.9601986765873276 34.65173842013912 0.9900496691468319 7.920397353174655 3.9601986765873276 2.9701490074404955 3.9601986765873276 0.9900496691468319 0.9900496691468319 2.9701490074404955 2.9701490074404955 0.9900496691468319 0.9900496691468319 0.9900496691468319 1.9800993382936638 1.9800993382936638 2.9701490074404955 2.9701490074404955 0.9900496691468319 2.9701490074404955 4.95024834573416 1.9800993382936638 1.9800993382936638 2.9701490074404955 1.9800993382936638 2.9701490074404955 5.940298014880991 2.9701490074404955 5.940298014880991 4.95024834573416 1.9800993382936638 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 2.9701490074404955 2.9701490074404955 0.9900496691468319 2.9701490074404955 1.9800993382936638 1.9800993382936638 1.9800993382936638 0.9900496691468319 1.9800993382936638 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 1.9800993382936638 1.9800993382936638 4.95024834573416 1.9800993382936638 0.9900496691468319 1.9800993382936638 1.9800993382936638 0.9900496691468319 1.9800993382936638 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 1.9800993382936638 0.9900496691468319 0.9900496691468319 1.9800993382936638 2.9701490074404955 1.9800993382936638 1.9800993382936638 1.9800993382936638 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 1.9800993382936638 0.9900496691468319 0.9900496691468319 1.9800993382936638 1.9800993382936638
письм	0 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 1.9800993382936638 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 1.9800993382936638 0.9900496691468319 0.9900496691468319 1.9800993382936638 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 1.9800993382936638 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319
отправлен	0 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319 0.9900496691468319
